File,Line,Code
"scripts/seed-realdb.ts",26,"const createdProps: any[] = [];"
"scripts/deploy-db-verify.ts",21,"details?: any;"
"scripts/deploy-db-verify.ts",121,"const indexInfo: any = {};"
"scripts/create-file.ts",46,"const result: any = { success: false, filePath: opts.filePath };"
"scripts/test-all.ts",12,"const results: { name: string; success: boolean; error?: any }[] = [];"
"components/marketplace/CatalogView.test.tsx",37,"default: ({ isOpen, title = 'Sign in to continue' }: any) => ("
"components/marketplace/CatalogView.test.tsx",47,"data?: any"
"components/marketplace/CatalogView.test.tsx",48,"error?: any"
"components/marketplace/CatalogView.test.tsx",50,"mutate?: jest.Mock | ((...args: any[]) => any)"
"components/marketplace/CatalogView.test.tsx",53,"data?: any"
"components/marketplace/CatalogView.test.tsx",54,"error?: any"
"components/marketplace/CatalogView.test.tsx",61,"const useSWRCalls: Array<{ key: any; fetcher: any; opts: any }> = []"
"components/marketplace/CatalogView.test.tsx",61,"const useSWRCalls: Array<{ key: any; fetcher: any; opts: any }> = []"
"components/marketplace/CatalogView.test.tsx",61,"const useSWRCalls: Array<{ key: any; fetcher: any; opts: any }> = []"
"components/marketplace/CatalogView.test.tsx",67,"default: (key: any, fetcher: any, opts: any) => {"
"components/marketplace/CatalogView.test.tsx",67,"default: (key: any, fetcher: any, opts: any) => {"
"components/marketplace/CatalogView.test.tsx",67,"default: (key: any, fetcher: any, opts: any) => {"
"components/marketplace/CatalogView.test.tsx",82,"Object.defineProperty = function (obj: any, prop: any, descriptor: any) {"
"components/marketplace/CatalogView.test.tsx",82,"Object.defineProperty = function (obj: any, prop: any, descriptor: any) {"
"components/marketplace/CatalogView.test.tsx",82,"Object.defineProperty = function (obj: any, prop: any, descriptor: any) {"
"components/marketplace/CatalogView.test.tsx",105,"jestLike.mocked = jestLike.mocked || ((v: any) => v)"
"components/marketplace/CatalogView.test.tsx",109,";(swrModule as any).default = (key: any, fetcher: any, opts: any) => {"
"components/marketplace/CatalogView.test.tsx",109,";(swrModule as any).default = (key: any, fetcher: any, opts: any) => {"
"components/marketplace/CatalogView.test.tsx",109,";(swrModule as any).default = (key: any, fetcher: any, opts: any) => {"
"components/marketplace/CatalogView.test.tsx",109,";(swrModule as any).default = (key: any, fetcher: any, opts: any) => {"
"components/marketplace/CatalogView.test.tsx",145,"function makeCatalog(products: any[]) {"
"components/marketplace/CatalogView.test.tsx",158,"function makeCategories(cats: any[]) {"
"components/fm/__tests__/WorkOrdersView.test.tsx",46,"const makeApiResponse = (items: any[], page = 1, limit = 10, total?: number) => ({"
"final-typescript-fix.js",50,"// 1. Replace (param: unknown) with (param: any)"
"final-typescript-fix.js",51,"content = content.replace(/\((\w+):\s*unknown\)/g, '($1: any)');"
"final-typescript-fix.js",56,"// 3. Replace : unknown[] with : any[]"
"final-typescript-fix.js",57,"content = content.replace(/:\s*unknown\[\]/g, ': any[]');"
"smart-merge-conflicts.ts",237,"} catch (error: any) {"
"src/server/models/__tests__/Candidate.test.ts",34,"constructor(..._args: any[]) {}"
"src/server/models/__tests__/Candidate.test.ts",137,"constructor(..._args: any[]) {}"
"src/server/models/__tests__/Candidate.test.ts",190,"constructor(..._args: any[]) {}"
"src/server/models/__tests__/Candidate.test.ts",196,"create: jest.fn((doc: any) => {"
