File,Line,Code
"scripts/seed-realdb.ts",28,"const doc = await (Property as any).findOneAndUpdate("
"scripts/seed-realdb.ts",54,"await (Asset as any).findOneAndUpdate("
"scripts/seed-realdb.ts",72,"const slaMinutes = computeSlaMinutes(w.priority as any);"
"scripts/seed-realdb.ts",75,"await (WorkOrder as any).create({"
"scripts/seed-realdb.ts",96,"await (Invoice as any).findOneAndUpdate("
"scripts/seed-aqar-properties.ts",46,"const { createdAt, ...rest } = d as any;"
"scripts/seed-users.ts",243,"const existingUser = await (User as any).findOne({ email: userData.email });"
"scripts/seed-users.ts",252,"await (User as any).create(userWithHashedPassword);"
"components/marketplace/CatalogView.test.tsx",31,"const jestLike = (global as any).vi ?? (global as any).jest"
"components/marketplace/CatalogView.test.tsx",31,"const jestLike = (global as any).vi ?? (global as any).jest"
"components/marketplace/CatalogView.test.tsx",95,"productsState.mutate = state.mutate as any"
"components/marketplace/CatalogView.test.tsx",176,";(global as any).fetch = undefined"
"components/marketplace/CatalogView.test.tsx",282,";(global as any).fetch = fetchSpy"
"components/marketplace/CatalogView.test.tsx",298,";(global as any).fetch = fetchSpy"
"components/marketplace/CatalogView.test.tsx",322,";(global as any).fetch = fetchSpy"
"components/fm/__tests__/WorkOrdersView.test.tsx",34,"(global as any).fetch = jest.fn();"
"components/fm/__tests__/WorkOrdersView.test.tsx",35,"(window.localStorage as any).clear();"
"components/fm/__tests__/WorkOrdersView.test.tsx",36,"(window as any).alert = jest.fn();"
"final-typescript-fix.js",53,"// 2. Replace as unknown with as any"
"final-typescript-fix.js",54,"content = content.replace(/\bas unknown\b(?!\[)/g, 'as any');"
"final-typescript-fix.js",64,"content = content.replace(/\.find\((\w+),/g, '.find($1 as any,');"
"final-typescript-fix.js",65,"content = content.replace(/\.countDocuments\((\w+)\)/g, '.countDocuments($1 as any)');"
"final-typescript-fix.js",66,"content = content.replace(/\.findOne\((\w+),/g, '.findOne($1 as any,');"
"final-typescript-fix.js",70,"content = content.replace(/{\s*\.\.\.(\w+)\s*}/g, '{ ...($1 as any) }');"
"final-typescript-fix.js",73,"content = content.replace(/\((\w+)\s+as\s+unknown\)\?\.(\w+)/g, '($1 as any)?.$2');"
