File,Line,Code
"scripts/verify-sanitize-and-signed-urls.ts",21,"run().catch((e) => { console.error(e); process.exit(1); });"
"qa/tests/lib-paytabs.create-payment.custom-base.spec.ts",66,"console.error = (() => {}) as any;"
"providers/Providers.test.tsx",39,"console.error = (...args: any[]) => {"
"scripts/seed-cms.js",129,"console.error(`❌ Failed to seed ${page.slug}:`, await response.text());"
"scripts/seed-cms.js",132,"console.error(`❌ Error seeding ${page.slug}:`, error);"
"scripts/seed-cms.js",183,"console.error(`❌ Failed to seed ${article.slug}:`, await response.text());"
"scripts/seed-cms.js",186,"console.error(`❌ Error seeding ${article.slug}:`, error);"
"scripts/seed-cms.js",200,"console.error('❌ Seeding failed:', error);"
"scripts/add-database-indexes.js",162,"console.error('❌ Error creating database indexes:', error);"
"scripts/replace-string-in-file-verbose.ts",156,"console.error(""🔍 VERBOSE MODE - Detailed logging enabled"");"
"scripts/replace-string-in-file-verbose.ts",157,"console.error("""");"
"scripts/replace-string-in-file-verbose.ts",160,"console.error(""📋 Options:"", JSON.stringify(opts, null, 2));"
"scripts/replace-string-in-file-verbose.ts",161,"console.error("""");"
"scripts/replace-string-in-file-verbose.ts",164,"console.error(""🎯 Pattern:"", pattern);"
"scripts/replace-string-in-file-verbose.ts",165,"console.error("""");"
"scripts/replace-string-in-file-verbose.ts",169,"console.error(`🔎 Searching for files matching: ${p}`);"
"scripts/replace-string-in-file-verbose.ts",182,"console.error(`   Found ${matches.length} file(s)`);"
"scripts/replace-string-in-file-verbose.ts",185,"console.error("""");"
"scripts/replace-string-in-file-verbose.ts",189,"console.error(`❌ ${msg}`);"
"scripts/replace-string-in-file-verbose.ts",195,"console.error(`📁 Processing ${files.size} file(s)...`);"
"scripts/replace-string-in-file-verbose.ts",196,"console.error("""");"
"scripts/replace-string-in-file-verbose.ts",203,"console.error(`📄 File: ${file}`);"
"scripts/replace-string-in-file-verbose.ts",205,"console.error(`   📖 Reading file...`);"
"scripts/replace-string-in-file-verbose.ts",207,"console.error(`   📏 Original size: ${original.length} bytes`);"
"scripts/replace-string-in-file-verbose.ts",208,"console.error(`   🔍 Searching for pattern...`);"
"scripts/replace-string-in-file-verbose.ts",211,"console.error(`   ✨ Found ${count} match(es)`);"
"scripts/replace-string-in-file-verbose.ts",214,"console.error(`   ⏭️  Skipping (no matches)`);"
"scripts/replace-string-in-file-verbose.ts",216,"console.error("""");"
"scripts/replace-string-in-file-verbose.ts",220,"console.error(`   📏 New size: ${result.length} bytes`);"
"scripts/replace-string-in-file-verbose.ts",221,"console.error(`   📊 Size change: ${result.length - original.length} bytes`);"
"scripts/replace-string-in-file-verbose.ts",225,"console.error(`   💾 Creating backup...`);"
"scripts/replace-string-in-file-verbose.ts",227,"console.error(`   ✅ Backup created: ${backupPath}`);"
"scripts/replace-string-in-file-verbose.ts",231,"console.error(`   ✍️  Writing to disk...`);"
"scripts/replace-string-in-file-verbose.ts",235,"console.error(`   ✅ Write completed in ${afterWrite - beforeWrite}ms`);"
"scripts/replace-string-in-file-verbose.ts",240,"console.error(`   ✅ Write verified - content matches`);"
"scripts/replace-string-in-file-verbose.ts",242,"console.error(`   ⚠️  WARNING: Write verification failed!`);"
"scripts/replace-string-in-file-verbose.ts",243,"console.error(`      Expected length: ${result.length}`);"
"scripts/replace-string-in-file-verbose.ts",244,"console.error(`      Actual length: ${verification.length}`);"
"scripts/replace-string-in-file-verbose.ts",247,"console.error(`   🏃 DRY-RUN: Skipping write`);"
"scripts/replace-string-in-file-verbose.ts",254,"console.error(`   ❌ ERROR: ${error.message || String(err)}`);"
"scripts/replace-string-in-file-verbose.ts",258,"console.error("""");"
"scripts/replace-string-in-file-verbose.ts",270,"console.error(""📊 SUMMARY:"");"
"scripts/replace-string-in-file-verbose.ts",271,"console.error(`   Success: ${success}`);"
"scripts/replace-string-in-file-verbose.ts",272,"console.error(`   Total files: ${files.size}`);"
"scripts/replace-string-in-file-verbose.ts",273,"console.error(`   Total replacements: ${totalReplacements}`);"
"scripts/replace-string-in-file-verbose.ts",274,"console.error(`   Errors: ${fileErrors}`);"
"scripts/replace-string-in-file-verbose.ts",275,"console.error("""");"
"scripts/replace-string-in-file-verbose.ts",296,"console.error(`💥 FATAL ERROR: ${msg}`);"
"scripts/replace-string-in-file-verbose.ts",297,"console.error(err.stack);"
"scripts/fixzit-comprehensive-audit.js",534,"main().catch(console.error);"
"scripts/rapid-enhance-all.js",182,"console.error(`❌ ERROR: ${filePath}`, error.message);"
"scripts/rapid-enhance-all.js",193,"console.error('Error finding routes:', error);"
"scripts/rapid-enhance-all.js",254,"main().catch(console.error);"
"scripts/fixzit-security-fixes.js",156,"console.error('Seeding error:', error);"
"scripts/fixzit-security-fixes.js",221,"console.error(err.stack);"
"scripts/fixzit-security-fixes.js",358,"console.error('❌ Error applying security fixes:', error);"
"scripts/test-auth-fix.js",24,"console.error('❌ JWT test failed:', error.message);"
"scripts/fix-imports-now.ts",26,"console.error(`Failed to process ${file}:`, error?.message || String(e));"
"scripts/fix-imports-now.ts",27,"if (error?.stack) console.error(error.stack);"
"scripts/seed-marketplace.ts",94,"console.error('Failed to seed marketplace (MockDB)', error);"
