File,Line,Code
"fix-imports.js",4,"console.log(""�� Starting import path fixes..."");"
"fix-imports.js",23,"console.log(`✅ Fixed ${oldPath} → ${newPath}`);"
"fix-imports.js",29,"console.log(""✅ File updated successfully!"");"
"fix-imports.js",31,"console.log(""ℹ️ No changes needed in test file"");"
"fix-imports.js",34,"console.log(""File not found for testing"");"
"test_mongodb.js",4,"console.log(""🔄 Testing MongoDB Cloud Connection..."");"
"test_mongodb.js",9,"console.log(""📋 Configuration Check:"");"
"test_mongodb.js",10,"console.log(`- MONGODB_URI: ${mongoUri ? ""✅ Set"" : ""❌ Missing""}`);"
"test_mongodb.js",11,"console.log(`- MONGODB_DB: ${dbName}`);"
"test_mongodb.js",14,"console.log(""❌ MongoDB URI not found in environment variables."");"
"test_mongodb.js",15,"console.log(""🔧 Please set MONGODB_URI in your .env.local file"");"
"test_mongodb.js",16,"console.log(""Format: mongodb+srv://username:password@cluster.mongodb.net/database"");"
"test_mongodb.js",21,"console.log(`🔗 Connecting to: ${safeUri}`);"
"test_mongodb.js",25,"console.log(""⏳ Attempting connection..."");"
"test_mongodb.js",27,"console.log(""✅ Successfully connected to MongoDB!"");"
"test_mongodb.js",31,"console.log(`📊 Database: ${dbName}`);"
"test_mongodb.js",32,"console.log(`📁 Collections found: ${collections.length}`);"
"test_mongodb.js",35,"console.log(""🎉 MongoDB connection test completed successfully!"");"
"test_mongodb.js",38,"console.log(`❌ MongoDB connection failed: ${error.message}`);"
"scripts/seed-cms.js",127,"console.log(`✅ Seeded page: ${page.slug}`);"
"scripts/seed-cms.js",181,"console.log(`✅ Seeded help article: ${article.slug}`);"
"scripts/seed-cms.js",192,"console.log('🌱 Starting CMS seeding...');"
"scripts/seed-cms.js",194,"console.log('🌱 Seeding help articles...');"
"scripts/seed-cms.js",197,"console.log('✅ Seeding complete!');"
"scripts/add-database-indexes.js",11,"console.log('🔗 Connecting to MongoDB...');"
"scripts/add-database-indexes.js",13,"console.log('✅ Connected to MongoDB');"
"scripts/add-database-indexes.js",17,"console.log('\n📊 Adding database indexes...');"
"scripts/add-database-indexes.js",18,"console.log('=====================================');"
"scripts/add-database-indexes.js",21,"console.log('👤 Adding User indexes...');"
"scripts/add-database-indexes.js",29,"console.log('✅ User indexes created');"
"scripts/add-database-indexes.js",32,"console.log('🏢 Adding Property indexes...');"
"scripts/add-database-indexes.js",41,"console.log('✅ Property indexes created');"
"scripts/add-database-indexes.js",44,"console.log('🔧 Adding WorkOrder indexes...');"
"scripts/add-database-indexes.js",54,"console.log('✅ WorkOrder indexes created');"
"scripts/add-database-indexes.js",57,"console.log('📄 Adding Contract indexes...');"
"scripts/add-database-indexes.js",64,"console.log('✅ Contract indexes created');"
"scripts/add-database-indexes.js",67,"console.log('💰 Adding Invoice indexes...');"
"scripts/add-database-indexes.js",75,"console.log('✅ Invoice indexes created');"
"scripts/add-database-indexes.js",78,"console.log('💳 Adding Payment indexes...');"
"scripts/add-database-indexes.js",85,"console.log('✅ Payment indexes created');"
"scripts/add-database-indexes.js",88,"console.log('🏪 Adding Vendor indexes...');"
"scripts/add-database-indexes.js",95,"console.log('✅ Vendor indexes created');"
"scripts/add-database-indexes.js",98,"console.log('📋 Adding RFQ indexes...');"
"scripts/add-database-indexes.js",105,"console.log('✅ RFQ indexes created');"
"scripts/add-database-indexes.js",108,"console.log('🏛️ Adding Organization indexes...');"
"scripts/add-database-indexes.js",112,"console.log('✅ Organization indexes created');"
"scripts/add-database-indexes.js",115,"console.log('🔔 Adding Notification indexes...');"
"scripts/add-database-indexes.js",120,"console.log('✅ Notification indexes created');"
"scripts/add-database-indexes.js",123,"console.log('📝 Adding Audit log indexes...');"
"scripts/add-database-indexes.js",128,"console.log('✅ Audit log indexes created');"
"scripts/add-database-indexes.js",131,"console.log('📚 Adding Help/Knowledge Center indexes...');"
"scripts/add-database-indexes.js",137,"console.log('✅ Help/Knowledge Center indexes created');"
"scripts/add-database-indexes.js",140,"console.log('🧠 Adding KB embeddings indexes...');"
"scripts/add-database-indexes.js",149,"console.log('✅ KB embeddings indexes created');"
"scripts/add-database-indexes.js",151,"console.log('\n=====================================');"
"scripts/add-database-indexes.js",152,"console.log('✅ ALL DATABASE INDEXES CREATED SUCCESSFULLY!');"
"scripts/add-database-indexes.js",153,"console.log('=====================================');"
"scripts/add-database-indexes.js",154,"console.log('📈 Performance improvements applied:');"
"scripts/add-database-indexes.js",155,"console.log('   • Faster user lookups and authentication');"
"scripts/add-database-indexes.js",156,"console.log('   • Optimized property and work order queries');"
"scripts/add-database-indexes.js",157,"console.log('   • Improved financial record performance');"
"scripts/add-database-indexes.js",158,"console.log('   • Enhanced marketplace search capabilities');"
"scripts/add-database-indexes.js",159,"console.log('   • Better audit trail performance');"
"scripts/add-database-indexes.js",166,"console.log('🔚 Disconnected from MongoDB');"
"scripts/replace-string-in-file-verbose.ts",191,"console.log(JSON.stringify({ success: false, message: msg, totalFiles: 0, totalReplacements: 0 }));"
"scripts/replace-string-in-file-verbose.ts",291,"console.log(JSON.stringify(summary, null, 2));"
"scripts/replace-string-in-file-verbose.ts",299,"console.log(JSON.stringify({ success: false, message: msg }));"
"scripts/fixzit-comprehensive-audit.js",153,"// Check for console.log statements"
