File,Line,Code
"scripts/add-database-indexes.js",145,"console.warn('Index create warning (tenant_article_chunk_unique):', e?.message || e);"
"scripts/load/smoke.js",10,"console.warn('FIXZIT_API_BASE not set; skipping smoke request.');"
"scripts/kb-change-stream.ts",51,"console.warn('KB watcher error:', e);"
"scripts/generate-marketplace-bible.js",64,"console.warn("
"scripts/_shared/marketplace.js",206,"console.warn(prefix, message, ...args);"
"scripts/seed-marketplace-shared.js",61,"console.warn("
"scripts/janitor.ts",64,"console.warn(`Skip (could not move): ${f}`, e);"
"components/ClientLayout.tsx",32,"console.warn('Translation context not available in ClientLayout:', error);"
"components/AutoFixInitializer.tsx",18,"console.warn(`⚠️ ${failedChecks.length} health checks failed on startup`);"
"components/ErrorTest.tsx",31,"console.warn('Unable to verify user role for QA tools:', error);"
"components/ErrorTest.tsx",51,"console.warn('Unable to initialize QA error test tools:', error);"
"test-mongodb-comprehensive.js",102,"console.warn(`  ⚠️  Query took ${duration}ms - may need index optimization`);"
"qa/consoleHijack.ts",9,"console.warn  = wrap('warn');"
"lib/payments/currencyUtils.ts",193,"console.warn(`No exchange rate available for ${fromCurrency} to ${toCurrency}`);"
"lib/db/index.ts",126,"console.warn(`  ⚠ ${collection}: ${mongoError.message || 'Unknown error'}`);"
"lib/marketplace/context.ts",29,"console.warn('Failed to decode marketplace JWT payload', { correlationId, message });"
"lib/marketplace/search.ts",48,"console.warn('Marketplace search synonyms unavailable, using defaults', error);"
"lib/AutoFixManager.ts",301,"console.warn(`⚠️ ${failedCount} health checks failed, auto-fixes applied`);"
"lib/auth.ts",45,"console.warn('Development/test environment detected: using fallback User implementation');"
"lib/auth.ts",79,"console.warn('⚠️ JWT_SECRET not set. Using ephemeral secret for development.');"
"lib/auth.ts",80,"console.warn('⚠️ Set JWT_SECRET environment variable for session persistence.');"
"lib/auth.test.ts",64,"// Helper to replace console.warn so we can assert ephemeral secret warnings"
"tests/unit/components/ErrorBoundary.test.tsx",143,"(console.warn as ReturnType<typeof vi.fn>).mockRestore?.();"
"tests/e2e/database.spec.ts",171,"console.warn('Warning: Multi-tenant isolation may not be working - both org properties visible');"
"public/sw.js",91,"console.warn('[SW] Arabic fonts caching failed, continuing:', error);"
"public/app.js",209,"console.warn('⚠️ KPI endpoint not available, using fallback data');"
"public/js/saudi-mobile-optimizations.js",329,"console.warn('Failed to cache offline data:', error);"
"contexts/TranslationContext.tsx",1814,"console.warn('Could not access localStorage for language preference:', error);"
"contexts/TranslationContext.tsx",1845,"console.warn('Could not update language settings:', error);"
"contexts/TranslationContext.tsx",1873,"console.warn(`Translation error for key '${key}':`, error);"
"contexts/TranslationContext.tsx",1902,"console.warn('Could not save language preference:', error);"
"contexts/TranslationContext.tsx",1909,"console.warn('Locale preference saved. Please refresh the page for changes to take effect.');"
"contexts/TranslationContext.tsx",1912,"console.warn('Could not save locale preference:', error);"
"contexts/TranslationContext.tsx",1926,"console.warn('useTranslation error:', error);"
"contexts/CurrencyContext.tsx",68,"console.warn('Could not hydrate currency preference:', error);"
"contexts/CurrencyContext.tsx",108,"console.warn('Could not persist currency preference:', error);"
"contexts/CurrencyContext.tsx",143,"console.warn('useCurrency called outside CurrencyProvider. Using fallback values.');"
"contexts/CurrencyContext.tsx",149,"console.warn('setCurrency called outside CurrencyProvider. No-op.');"
"test-e2e-comprehensive.js",195,"console.warn('  ⚠️  Missing X-Content-Type-Options header');"
"app/api/qa/alert/route.ts",48,"console.warn(`🚨 QA Alert: ${event}`, data);"
"app/api/search/route.ts",222,"console.warn(`Search failed for entity ${entity}:`, error);"
"app/api/kb/search/route.ts",120,"console.warn('Vector search failed, falling back to lexical search:', vectorError);"
"app/test/help_ai_chat_page.test.tsx",42,"console.warn('Adjust AIChatPage import path in help_ai_chat_page.test.tsx to match your repo structure.')"
