File,Line,Code
"scripts/seed-marketplace.ts",52,"// eslint-disable-next-line no-console"
"scripts/seed-marketplace.ts",71,"// eslint-disable-next-line no-console"
"scripts/seed-marketplace.ts",93,"// eslint-disable-next-line no-console"
"scripts/generate-marketplace-bible.js",63,"// eslint-disable-next-line no-console"
"scripts/generate-marketplace-bible.js",75,"// eslint-disable-next-line no-console"
"scripts/generate-marketplace-bible.js",81,"// eslint-disable-next-line no-console"
"scripts/generate-marketplace-bible.js",91,"// eslint-disable-next-line no-console"
"scripts/seed-marketplace-shared.js",60,"// eslint-disable-next-line no-console"
"scripts/mongo-check.ts",10,"// eslint-disable-next-line @typescript-eslint/no-var-requires"
"components/CopilotWidget.tsx",101,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"components/marketplace/CatalogView.tsx",279,"// eslint-disable-next-line @next/next/no-img-element"
"src/server/models/marketplace/Product.ts",41,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"lib/db/index.ts",113,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"lib/markdown.ts",20,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"lib/marketplace/context.ts",28,"// eslint-disable-next-line no-console"
"lib/marketplace/context.ts",46,"// eslint-disable-next-line no-console"
"lib/marketplace/context.ts",64,"// eslint-disable-next-line no-console"
"lib/marketplace/search.ts",106,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"lib/marketplace/search.ts",128,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"lib/marketplace/search.ts",132,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"lib/marketplace/correlation.ts",61,"// eslint-disable-next-line no-console"
"lib/marketplace/serverFetch.ts",24,"// eslint-disable-next-line no-console"
"lib/marketplace/serverFetch.ts",60,"// eslint-disable-next-line no-console"
"lib/marketplace/serverFetch.ts",94,"// eslint-disable-next-line no-console"
"lib/mongodb-unified.ts",4,"// eslint-disable-next-line no-var, no-unused-vars"
"tests/scripts/generate-marketplace-bible.test.ts",26,"// eslint-disable-next-line @typescript-eslint/no-var-requires"
"tests/scripts/generate-marketplace-bible.test.ts",139,"// eslint-disable-next-line @typescript-eslint/no-var-requires"
"tests/scripts/seed-marketplace.mjs.test.ts",80,"// eslint-disable-next-line @typescript-eslint/no-implied-eval"
"tests/models/MarketplaceProduct.test.ts",29,"// eslint-disable-next-line @typescript-eslint/no-var-requires"
"tests/tools.spec.ts",20,"// eslint-disable-next-line @typescript-eslint/no-var-requires"
"tests/api/lib-paytabs.test.ts",21,"// eslint-disable-next-line @typescript-eslint/no-var-requires"
"tests/api/paytabs-callback.test.ts",34,"// eslint-disable-next-line no-await-in-loop"
"tests/unit/components/ErrorBoundary.test.tsx",50,"// eslint-disable-next-line @typescript-eslint/no-var-requires"
"tests/unit/components/ErrorBoundary.test.tsx",54,"// eslint-disable-next-line @typescript-eslint/no-var-requires"
"tests/unit/components/ErrorBoundary.test.tsx",58,"// eslint-disable-next-line @typescript-eslint/no-var-requires"
"tests/unit/api/api-paytabs-callback.spec.ts",34,"// eslint-disable-next-line no-await-in-loop"
"tests/ats.scoring.test.ts",18,"// eslint-disable-next-line @typescript-eslint/no-var-requires"
"tests/ats.scoring.test.ts",23,"// eslint-disable-next-line @typescript-eslint/no-var-requires"
"tests/ats.scoring.test.ts",28,"// eslint-disable-next-line @typescript-eslint/no-var-requires"
"tests/ats.scoring.test.ts",33,"// eslint-disable-next-line @typescript-eslint/no-var-requires"
"tests/pages/product.slug.page.test.ts",26,"// eslint-disable-next-line @typescript-eslint/no-var-requires"
"tests/paytabs.test.ts",57,"// eslint-disable-next-line no-await-in-loop"
"server/work-orders/wo.service.test.ts",11,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"server/work-orders/wo.service.test.ts",34,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"server/work-orders/wo.service.test.ts",36,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"server/work-orders/wo.service.test.ts",38,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"server/work-orders/wo.service.test.ts",40,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"server/work-orders/wo.service.test.ts",42,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"server/work-orders/wo.service.test.ts",47,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"server/work-orders/wo.service.test.ts",49,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"server/work-orders/wo.service.test.ts",141,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"deployment/mongo-init.js",5,"// eslint-disable-next-line no-undef"
"app/api/marketplace/categories/route.test.ts",128,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"app/api/marketplace/categories/route.test.ts",135,"} as any, // eslint-disable-line @typescript-eslint/no-explicit-any"
"app/api/marketplace/products/[slug]/route.test.ts",25,"// eslint-disable-next-line @typescript-eslint/no-explicit-any"
"app/marketplace/page.test.tsx",36,"// eslint-disable-next-line import/first"
"app/test/api_help_articles_route.test.ts",57,"// eslint-disable-next-line @typescript-eslint/no-var-requires"
"app/test/help_ai_chat_page.test.tsx",41,"// eslint-disable-next-line no-console"
"app/api/marketplace/categories/route.test.ts",135,"} as any, // eslint-disable-line @typescript-eslint/no-explicit-any"
