File,Line,Code
"scripts/seed-marketplace.js",5,"const MONGODB_URI = process.env.MONGODB_URI || 'mongodb://localhost:27017/fixzit';"
"scripts/create-project-text-index.js",8,"const MONGODB_URI = process.env.MONGODB_URI || 'mongodb://localhost:27017/fixzit';"
"scripts/create-test-data.js",6,"mongoose.connect(process.env.MONGODB_URI || 'mongodb://localhost:27017/fixzitsouq');"
"scripts/copilot-index.ts",54,"const endpoint = process.env.COPILOT_INDEX_ENDPOINT || 'http://localhost:3000/api/copilot/knowledge';"
"packages/fixzit-souq-server/routes/auth.js",12,"const client = new MongoClient(process.env.MONGODB_URI || 'mongodb://localhost:27017/fixzit');"
"packages/fixzit-souq-server/db.js",11,"const uri = process.env.MONGODB_URI || process.env.MONGO_URL || 'mongodb://localhost:27017/fixzit';"
"qa/config.js",2,"baseURL: process.env.NEXT_PUBLIC_APP_BASE_URL || 'http://localhost:3000',"
"qa/playwright.config.ts",10,"baseURL: process.env.NEXT_PUBLIC_APP_BASE_URL || 'http://localhost:3000',"
"lib/mongo.ts",44,"const uri = process.env.MONGODB_URI || 'mongodb://localhost:27017';"
"tests/setup.ts",59,"process.env.MONGODB_URI = process.env.MONGODB_URI || 'mongodb://localhost:27017/fixzit_test';"
"tests/setup.ts",63,"process.env.NEXTAUTH_URL = process.env.NEXTAUTH_URL || 'http://localhost:3000';"
"tests/pages/product.slug.page.test.ts",37,"const res = await fetch(`${process.env.NEXT_PUBLIC_FRONTEND_URL || 'http://localhost:3000'}/api/marketplace/products/${slug}`, { cache: 'no-store' });"
"test-e2e-comprehensive.js",11,"const BASE_URL = process.env.BASE_URL || 'http://localhost:3000';"
"app/api/support/incidents/route.ts",87,"const redis = new Redis(process.env.REDIS_URL || 'redis://localhost:6379');"
"scripts/seed-cms.js",5,"const baseUrl = 'http://localhost:3000';"
"scripts/seed-cms.js",139,"const baseUrl = 'http://localhost:3000';"
"scripts/fixzit-security-fixes.js",40,"const allowedOrigins = process.env.CORS_ORIGIN?.split(',') || ['http://localhost:3000'];"
"scripts/seed-realdb.ts",4,"$env:MONGODB_URI=""mongodb://localhost:27017/fixzit""; npm run seed:realdb"
"scripts/complete-system-audit.js",230,"url: `http://localhost:5000${endpoint.path}`,"
"scripts/seed-marketplace.js",5,"const MONGODB_URI = process.env.MONGODB_URI || 'mongodb://localhost:27017/fixzit';"
"scripts/create-project-text-index.js",8,"const MONGODB_URI = process.env.MONGODB_URI || 'mongodb://localhost:27017/fixzit';"
"scripts/verify-routes.ts",6,"const BASE = ""http://localhost:3000"";"
"scripts/universal-verification.js",2,"const BASE_URL = 'http://localhost:5000';"
"scripts/property-owner-verification.js",3,"const BASE_URL = 'http://localhost:5000';"
"scripts/serve-frontend.js",15,"const backendUrl = `http://localhost:5000${req.originalUrl}`;"
"scripts/server-fixed.js",36,"const allowedOrigins = process.env.CORS_ORIGIN?.split(',') || ['http://localhost:3000'];"
"scripts/verification-checkpoint.js",29,"const health = await fetch('http://localhost:5000/');"
"scripts/verification-checkpoint.js",36,"const landing = await fetch('http://localhost:5000');"
"scripts/verification-checkpoint.js",40,"const loginTest = await fetch('http://localhost:5000/api/auth/login', {"
"scripts/verification-checkpoint.js",51,"const dashboard = await fetch('http://localhost:5000/dashboard.html');"
"scripts/verification-checkpoint.js",95,"const response = await fetch(`http://localhost:5000/api/${module}`);"
"scripts/verification-checkpoint.js",131,"const wo = await fetch('http://localhost:5000/api/workorders');"
"scripts/verification-checkpoint.js",135,"const rfq = await fetch('http://localhost:5000/api/marketplace');"
"scripts/verification-checkpoint.js",139,"const approval = await fetch('http://localhost:5000/api/auth/login');"
"scripts/phase1-truth-verifier.js",50,"const res = await axios.post('http://localhost:5000/api/workorders', {"
"scripts/phase1-truth-verifier.js",62,"const get = await axios.get(`http://localhost:5000/api/workorders/${data.data._id}`);"
"scripts/phase1-truth-verifier.js",79,"const res = await axios.post('http://localhost:5000/api/workorders/test-auto-assign', {"
"scripts/phase1-truth-verifier.js",97,"const res = await axios.post('http://localhost:5000/api/properties', {"
"scripts/phase1-truth-verifier.js",119,"const res = await axios.post('http://localhost:5000/api/properties/units/test/assign-tenant', {"
"scripts/phase1-truth-verifier.js",134,"const res = await axios.post('http://localhost:5000/api/finance/invoices', {"
"scripts/phase1-truth-verifier.js",162,"const rfq = await axios.post('http://localhost:5000/api/marketplace/rfq', {"
