File,Line,Code
"test_mongodb.js",43,"testMongoConnection().then(success => process.exit(success ? 0 : 1));"
"scripts/seed-cms.js",198,"process.exit(0);"
"scripts/seed-cms.js",201,"process.exit(1);"
"scripts/add-database-indexes.js",163,"process.exit(1);"
"scripts/add-database-indexes.js",167,"process.exit(0);"
"scripts/test-server.js",62,"process.exit(0);"
"scripts/scan-hex.js",107,"process.exit(1);"
"scripts/scan-hex.js",163,"process.exit(0);"
"scripts/scan-hex.js",216,"process.exit(1);"
"scripts/seedData.js",23,"process.exit(1);"
"scripts/seedData.js",297,"process.exit(0);"
"scripts/setup-indexes.ts",8,"process.exit(0);"
"scripts/setup-indexes.ts",12,"process.exit(0);"
"scripts/setup-indexes.ts",15,"process.exit(1);"
"scripts/seed-realdb.ts",125,"main().then(() => process.exit(0)).catch((err) => {"
"scripts/seed-realdb.ts",127,"process.exit(1);"
"scripts/security-audit.js",209,"process.exit(auditResults.criticalIssues > 0 ? 1 : 0);"
"scripts/test-mongo-connection.ts",104,"process.exit(results.success ? 0 : 1);"
"scripts/setup-production-db.ts",26,"process.exit(1);"
"scripts/setup-production-db.ts",33,"process.exit(1);"
"scripts/setup-production-db.ts",43,"process.exit(1);"
"scripts/setup-production-db.ts",154,"process.exit(1);"
"scripts/seed-aqar-properties.ts",58,"process.exit(0);"
"scripts/seed-aqar-properties.ts",61,"process.exit(1);"
"scripts/create-project-text-index.js",59,"process.exit(1);"
"scripts/verify-routes.ts",47,"process.exit(1);"
"scripts/test-auth-config.js",47,"process.exit(0);"
"scripts/test-auth-config.js",50,"process.exit(1);"
"scripts/deploy-db-verify.ts",274,"process.exit(1);"
"scripts/deploy-db-verify.ts",277,"process.exit(0);"
"scripts/deploy-db-verify.ts",310,"process.exit(1);"
"scripts/security-migration.js",393,"process.exit(1);"
"scripts/auto-enhance-routes.js",170,"process.exit(1);"
"scripts/property-owner-verification.js",372,"process.exit(percentage >= 80 ? 0 : 1);"
"scripts/kb-change-stream.ts",58,"process.exit(1);"
"scripts/scanner.js",117,"process.exit(1);"
"scripts/scanner.js",772,"process.exit(1);"
"scripts/scanner.js",775,"process.exit(0);"
"scripts/verification-checkpoint.js",215,"process.exit(result ? 0 : 1);"
"scripts/test-mongodb-atlas.js",14,"process.exit(1);"
"scripts/test-mongodb-atlas.js",53,"process.exit(1);"
"scripts/mongo-check.ts",4,"process.exit(0);"
"scripts/mongo-check.ts",19,"process.exit(1);"
"scripts/verify.ts",28,"process.exit(1);"
"scripts/fix-workorder-index.js",91,"process.exit(1);"
"scripts/fix-workorder-index.js",103,"process.exit(0);"
"scripts/fix-workorder-index.js",106,"process.exit(1);"
"scripts/create-test-data.js",24,"process.exit(1);"
"scripts/create-test-data.js",136,"process.exit(0);"
"scripts/create-test-data.js",139,"process.exit(1);"
"scripts/seed-db.js",18,"process.exit(0);"
"scripts/seed-db.js",22,"process.exit(1);"
"scripts/ensure-indexes.ts",25,"process.exit(0);"
"scripts/ensure-indexes.ts",28,"process.exit(1);"
"scripts/test-data.js",75,"process.exit(0);"
"scripts/test-data.js",78,"process.exit(1);"
"scripts/seed-users.ts",267,"seedUsers().then(() => process.exit(0)).catch(() => process.exit(1));"
"scripts/seed-users.ts",267,"seedUsers().then(() => process.exit(0)).catch(() => process.exit(1));"
"scripts/production-check.js",206,"process.exit(ready ? 0 : 1);"
"scripts/verify-core.ts",57,"process.exit(success ? 0 : 1);"
"scripts/verify-api.ts",27,"process.exit(0);"
"scripts/verify-api.ts",47,"if (failures) process.exit(1);"
"scripts/fix-duplicate-keys.js",142,"process.exit(0);"
"scripts/analyze-project.js",725,"process.exit(1);"
"scripts/unified-audit-system.js",802,"process.exit(1);"
"scripts/seedMarketplace.ts",149,"process.exit(0);"
"scripts/seedMarketplace.ts",154,"process.exit(1);"
"scripts/server.js",98,"process.exit(1);"
"scripts/server.js",108,"process.exit(1);"
"scripts/server.js",303,"process.exit(0);"
"scripts/fix-null-property-codes.js",69,"process.exit(1);"
"scripts/fix-null-property-codes.js",73,"process.exit(0);"
"scripts/seed-subscriptions.ts",124,"process.exit(1);"
"scripts/replace.js",50,"process.exit(0);"
"scripts/replace.js",56,"process.exit(1);"
"scripts/replace.js",81,"process.exit(err.status || 1);"
"scripts/test-all.ts",102,"process.exit(success ? 0 : 1);"
"scripts/copilot-index.ts",78,"process.exit(1);"
"scripts/copilot-index.ts",86,"process.exit(1);"
"scripts/enhance-api-routes.js",356,"process.exit(1);"
"analyze-imports.js",194,"process.exit(totalIssues > 0 ? 1 : 0);"
"test-mongodb-comprehensive.js",206,"process.exit(1);"
"test-mongodb-comprehensive.js",225,"process.exit(0);"
"test-mongodb-comprehensive.js",230,"process.exit(1);"
"analyze-system-errors.js",44,"process.exit(1);"
"lib/database.ts",39,"process.exit(0);"
"lib/database.ts",45,"process.exit(0);"
"lib/database.ts",51,"process.exit(1);"
"lib/database.ts",57,"process.exit(1);"
"lib/auth.ts",42,"process.exit(1);"
"analyze-pr-comments.js",27,"process.exit(1);"
"tools/wo-smoke.ts",78,"process.exit(1);"
"test-e2e-comprehensive.js",216,"process.exit(failedTests > 0 ? 1 : 0);"
"test-e2e-comprehensive.js",221,"process.exit(1);"
"test-auth.js",227,"process.exit(failed === 0 ? 0 : 1);"
"test-auth.js",233,"process.exit(1);"
"test_mongodb.js",43,"testMongoConnection().then(success => process.exit(success ? 0 : 1));"
"scripts/seed-cms.js",198,"process.exit(0);"
"scripts/seed-cms.js",201,"process.exit(1);"
"scripts/add-database-indexes.js",163,"process.exit(1);"
"scripts/add-database-indexes.js",167,"process.exit(0);"
"scripts/test-server.js",62,"process.exit(0);"
"scripts/scan-hex.js",107,"process.exit(1);"
"scripts/scan-hex.js",163,"process.exit(0);"
"scripts/scan-hex.js",216,"process.exit(1);"
"scripts/seedData.js",23,"process.exit(1);"
"scripts/seedData.js",297,"process.exit(0);"
"scripts/setup-indexes.ts",8,"process.exit(0);"
"scripts/setup-indexes.ts",12,"process.exit(0);"
"scripts/setup-indexes.ts",15,"process.exit(1);"
"scripts/seed-realdb.ts",125,"main().then(() => process.exit(0)).catch((err) => {"
"scripts/seed-realdb.ts",127,"process.exit(1);"
"scripts/security-audit.js",209,"process.exit(auditResults.criticalIssues > 0 ? 1 : 0);"
"scripts/test-mongo-connection.ts",104,"process.exit(results.success ? 0 : 1);"
"scripts/setup-production-db.ts",26,"process.exit(1);"
"scripts/setup-production-db.ts",33,"process.exit(1);"
"scripts/setup-production-db.ts",43,"process.exit(1);"
"scripts/setup-production-db.ts",154,"process.exit(1);"
"scripts/seed-aqar-properties.ts",58,"process.exit(0);"
"scripts/seed-aqar-properties.ts",61,"process.exit(1);"
"scripts/create-project-text-index.js",59,"process.exit(1);"
"scripts/verify-routes.ts",47,"process.exit(1);"
"scripts/test-auth-config.js",47,"process.exit(0);"
"scripts/test-auth-config.js",50,"process.exit(1);"
"scripts/deploy-db-verify.ts",274,"process.exit(1);"
"scripts/deploy-db-verify.ts",277,"process.exit(0);"
"scripts/deploy-db-verify.ts",310,"process.exit(1);"
"scripts/security-migration.js",393,"process.exit(1);"
"scripts/auto-enhance-routes.js",170,"process.exit(1);"
"scripts/property-owner-verification.js",372,"process.exit(percentage >= 80 ? 0 : 1);"
"scripts/kb-change-stream.ts",58,"process.exit(1);"
"scripts/scanner.js",117,"process.exit(1);"
"scripts/scanner.js",772,"process.exit(1);"
"scripts/scanner.js",775,"process.exit(0);"
"scripts/verification-checkpoint.js",215,"process.exit(result ? 0 : 1);"
"scripts/test-mongodb-atlas.js",14,"process.exit(1);"
"scripts/test-mongodb-atlas.js",53,"process.exit(1);"
"scripts/mongo-check.ts",4,"process.exit(0);"
"scripts/mongo-check.ts",19,"process.exit(1);"
"scripts/verify.ts",28,"process.exit(1);"
"scripts/fix-workorder-index.js",91,"process.exit(1);"
"scripts/fix-workorder-index.js",103,"process.exit(0);"
"scripts/fix-workorder-index.js",106,"process.exit(1);"
"scripts/create-test-data.js",24,"process.exit(1);"
"scripts/create-test-data.js",136,"process.exit(0);"
"scripts/create-test-data.js",139,"process.exit(1);"
"scripts/seed-db.js",18,"process.exit(0);"
"scripts/seed-db.js",22,"process.exit(1);"
"scripts/ensure-indexes.ts",25,"process.exit(0);"
"scripts/ensure-indexes.ts",28,"process.exit(1);"
"scripts/test-data.js",75,"process.exit(0);"
"scripts/test-data.js",78,"process.exit(1);"
"scripts/seed-users.ts",267,"seedUsers().then(() => process.exit(0)).catch(() => process.exit(1));"
"scripts/seed-users.ts",267,"seedUsers().then(() => process.exit(0)).catch(() => process.exit(1));"
"scripts/production-check.js",206,"process.exit(ready ? 0 : 1);"
"scripts/verify-core.ts",57,"process.exit(success ? 0 : 1);"
"scripts/verify-api.ts",27,"process.exit(0);"
"scripts/verify-api.ts",47,"if (failures) process.exit(1);"
"scripts/fix-duplicate-keys.js",142,"process.exit(0);"
"scripts/analyze-project.js",725,"process.exit(1);"
"scripts/unified-audit-system.js",802,"process.exit(1);"
