File,Line,Code
"qa/qaPatterns.ts",30,"// @ts-expect-error"
"lib/utils.test.ts",64,"// @ts-expect-error Testing runtime robustness against undefined"
"lib/utils.test.ts",66,"// @ts-expect-error Testing runtime robustness against null"
"lib/utils.test.ts",68,"// @ts-expect-error Testing runtime robustness against number"
"lib/utils.test.ts",70,"// @ts-expect-error Testing runtime robustness against object"
"lib/ats/scoring.test.ts",72,"// @ts-expect-error testing runtime behavior on null"
"lib/ats/scoring.test.ts",74,"// @ts-expect-error testing runtime behavior on undefined"
"tests/scripts/seed-marketplace.mjs.test.ts",150,"// @ts-expect-error - Restoring original Date.now implementation"
"tests/unit/components/SupportPopup.test.tsx",28,"// @ts-expect-error: partial clipboard mock"
"tests/unit/components/SupportPopup.test.tsx",35,"// @ts-expect-error: restore"
"tests/unit/components/SupportPopup.test.tsx",150,"// @ts-expect-error override mock"
"tests/unit/models/Asset.test.ts",65,"// @ts-expect-error intentional omission"
"tests/unit/src_lib_utils.spec.ts",51,"// @ts-expect-error: intentionally testing runtime behavior with invalid inputs"
"tests/unit/src_lib_utils.spec.ts",53,"// @ts-expect-error: intentionally testing runtime behavior with invalid inputs"
"tests/ats.scoring.test.ts",87,"// @ts-expect-error - intentional invalid type to test runtime behavior"
"tests/ats.scoring.test.ts",89,"// @ts-expect-error"
"tests/sla.test.ts",34,"// @ts-expect-error testing runtime behavior for undefined"
"tests/sla.test.ts",36,"// @ts-expect-error testing runtime behavior for null"
"tests/sla.test.ts",86,"// @ts-expect-error deliberately passing undefined"
"tests/pages/marketplace.page.test.ts",27,"// @ts-expect-error - Dynamic import for testing"
"tests/pages/marketplace.page.test.ts",52,"// @ts-expect-error"
"tests/pages/marketplace.page.test.ts",60,"// @ts-expect-error"
"tests/pages/product.slug.page.test.ts",235,"// @ts-expect-error - testing unexpected input path"
"tests/paytabs.test.ts",80,"// @ts-expect-error testing unknown region string"
"tests/paytabs.test.ts",84,"// @ts-expect-error omit param to exercise default"
