File,Line,Code
"scripts/dedupe-merge.ts",5,"// @ts-ignore - No type declarations available"
"scripts/fixzit-pack.ts",4,"// @ts-ignore - No type declarations available"
"qa/qaPatterns.ts",32,"//@ts-ignore"
"lib/sla.spec.ts",89,"// @ts-ignore"
"lib/sla.spec.ts",98,"// @ts-ignore"
"lib/ats/scoring.test.ts",4,"// @ts-ignore"
"lib/ats/scoring.test.ts",11,"// @ts-ignore testing runtime with non-string-like falsy converted upstream"
"lib/ats/scoring.test.ts",13,"// @ts-ignore null as unexpected input"
"tests/scripts/generate-marketplace-bible.test.ts",23,"// @ts-ignore"
"tests/models/candidate.test.ts",92,"// @ts-ignore"
"tests/api/lib-paytabs.test.ts",221,"// @ts-ignore"
"tests/api/lib-paytabs.test.ts",281,"// @ts-ignore"
"tests/api/lib-paytabs.test.ts",296,"// @ts-ignore"
"tests/api/lib-paytabs.test.ts",350,"// @ts-ignore"
"tests/sla.test.ts",82,"// @ts-ignore"
"tests/sla.test.ts",91,"// @ts-ignore"
"server/work-orders/wo.service.test.ts",5,"// @ts-ignore - wo.repo doesn't exist, fully mocked below"
"server/work-orders/wo.service.test.ts",7,"// @ts-ignore - audit path updated, fully mocked below"
"app/test/help_support_ticket_page.test.tsx",23,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",26,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",31,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",34,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",37,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",202,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",226,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",259,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",273,"// @ts-ignore"
"scripts/dedupe-merge.ts",5,"// @ts-ignore - No type declarations available"
"scripts/fixzit-pack.ts",4,"// @ts-ignore - No type declarations available"
"qa/qaPatterns.ts",32,"//@ts-ignore"
"lib/sla.spec.ts",89,"// @ts-ignore"
"lib/sla.spec.ts",98,"// @ts-ignore"
"lib/ats/scoring.test.ts",4,"// @ts-ignore"
"lib/ats/scoring.test.ts",11,"// @ts-ignore testing runtime with non-string-like falsy converted upstream"
"lib/ats/scoring.test.ts",13,"// @ts-ignore null as unexpected input"
"tests/scripts/generate-marketplace-bible.test.ts",23,"// @ts-ignore"
"tests/models/candidate.test.ts",92,"// @ts-ignore"
"tests/api/lib-paytabs.test.ts",221,"// @ts-ignore"
"tests/api/lib-paytabs.test.ts",281,"// @ts-ignore"
"tests/api/lib-paytabs.test.ts",296,"// @ts-ignore"
"tests/api/lib-paytabs.test.ts",350,"// @ts-ignore"
"tests/sla.test.ts",82,"// @ts-ignore"
"tests/sla.test.ts",91,"// @ts-ignore"
"server/work-orders/wo.service.test.ts",5,"// @ts-ignore - wo.repo doesn't exist, fully mocked below"
"server/work-orders/wo.service.test.ts",7,"// @ts-ignore - audit path updated, fully mocked below"
"app/test/help_support_ticket_page.test.tsx",23,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",26,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",31,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",34,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",37,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",202,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",226,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",259,"// @ts-ignore"
"app/test/help_support_ticket_page.test.tsx",273,"// @ts-ignore"
