Category,Type,File,Line,Code
"buildErrors","Reference Error","components/ErrorBoundary.tsx",167,"pattern: /TypeError|ReferenceError/,"
"buildErrors","Reference Error","tests/unit/components/ErrorBoundary.test.tsx",268,"<ChildThatThrows message={""Stack gen""} name=""ReferenceError"" />"
"buildErrors","Webpack Error","tools/analyzers/analyze-system-errors.js",54,"{ pattern: /webpack.*error/gi, type: 'Webpack Error' },"
"buildErrors","Compilation Error","tools/analyzers/analyze-system-errors.js",55,"{ pattern: /compilation\s+error/gi, type: 'Compilation Error' },"
"buildErrors","Build Failure","tools/analyzers/analyze-system-errors.js",56,"{ pattern: /build\s+fail/gi, type: 'Build Failure' },"
"buildErrors","Syntax Error","tools/analyzers/analyze-system-errors.js",57,"{ pattern: /SyntaxError/g, type: 'Syntax Error' },"
"buildErrors","Reference Error","tools/analyzers/analyze-system-errors.js",58,"{ pattern: /ReferenceError/g, type: 'Reference Error' }"
"testErrors","Skipped Test","modules/organizations/service.ts",23,"Organization.find(query).sort(sort).skip(skip).limit(limit).lean().exec(),"
"testErrors","Skipped Test","modules/users/service.ts",25,"User.find(query).sort(sort).skip(skip).limit(limit).select('-passwordHash').lean().exec(),"
"testErrors","Disabled Test (xit)","lib/database.ts",37,"process.exit(0);"
"testErrors","Disabled Test (xit)","lib/database.ts",42,"process.exit(0);"
"testErrors","Disabled Test (xit)","lib/database.ts",47,"process.exit(1);"
"testErrors","Disabled Test (xit)","lib/database.ts",52,"process.exit(1);"
"testErrors","Disabled Test (xit)","lib/auth.ts",42,"process.exit(1);"
"testErrors","Skipped Test","lib/marketplace/search.ts",141,"Product.find(query).skip(skip).limit(limit).sort({ createdAt: -1 }).lean(),"
"testErrors","Skipped Test","packages/fixzit-souq-server/routes/marketplace.js",48,".skip(skip)"
"testErrors","Skipped Test","qa/tests/07-marketplace-page.spec.ts",78,"if (!usedStub) test.skip();"
"testErrors","Skipped Test","qa/tests/07-marketplace-page.spec.ts",117,"if (!usedStub) test.skip();"
"testErrors","Skipped Test","qa/tests/07-marketplace-page.spec.ts",149,"if (!usedStub) test.skip();"
"testErrors","Skipped Test","qa/tests/07-marketplace-page.spec.ts",166,"if (!usedStub) test.skip();"
"testErrors","Skipped Test","qa/tests/07-marketplace-page.spec.ts",182,"if (!usedStub) test.skip();"
"testErrors","Skipped Test","qa/tests/07-marketplace-page.spec.ts",198,"if (!usedStub) test.skip();"
"testErrors","Disabled Test (xit)","scripts/verify-core.ts",57,"process.exit(success ? 0 : 1);"
"testErrors","Disabled Test (xit)","scripts/ensure-indexes.ts",25,"process.exit(0);"
"testErrors","Disabled Test (xit)","scripts/ensure-indexes.ts",28,"process.exit(1);"
