type,key,bare,inEN,inAR,files
CATALOG_MISSING_AR,employees,employees,true,false,""
CATALOG_MISSING_AR,accounts,accounts,true,false,""
CATALOG_MISSING_AR,Accounts,Accounts,true,false,""
USED_MISSING,about.metaTitle,about.metaTitle,false,false,"/workspaces/Fixzit/app/about/page.tsx; /workspaces/Fixzit/app/about/page.tsx; /workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.metaDesc,about.metaDesc,false,false,"/workspaces/Fixzit/app/about/page.tsx; /workspaces/Fixzit/app/about/page.tsx; /workspaces/Fixzit/app/about/page.tsx; /workspaces/Fixzit/app/about/page.tsx; /workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.title,about.title,false,false,"/workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.subtitle,about.subtitle,false,false,"/workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.statsSection,about.statsSection,false,false,"/workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.clients,about.clients,false,false,"/workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.uptime,about.uptime,false,false,"/workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.experience,about.experience,false,false,"/workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.properties,about.properties,false,false,"/workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.contentSection,about.contentSection,false,false,"/workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.contactSection,about.contactSection,false,false,"/workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.contactTitle,about.contactTitle,false,false,"/workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.contactDesc,about.contactDesc,false,false,"/workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.email,about.email,false,false,"/workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.emailLabel,about.emailLabel,false,false,"/workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.phone,about.phone,false,false,"/workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,about.phoneLabel,about.phoneLabel,false,false,"/workspaces/Fixzit/app/about/page.tsx"
USED_MISSING,save.saving,save.saving,false,false,"/workspaces/Fixzit/app/admin/cms/page.tsx"
USED_MISSING,Bank Transfer Details,Bank Transfer Details,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,Bank Name,Bank Name,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx; /workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,Account Number,Account Number,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,Account Holder,Account Holder,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,SWIFT Code,SWIFT Code,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,IBAN,IBAN,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,Cheque Details,Cheque Details,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,Cheque Number,Cheque Number,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,Cheque Date,Cheque Date,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,Drawer Name,Drawer Name,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,Name on cheque,Name on cheque,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,Card Payment Details,Card Payment Details,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,Card Type,Card Type,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,Last 4 Digits,Last 4 Digits,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,Transaction ID,Transaction ID,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,Authorization Code,Authorization Code,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
USED_MISSING,New Payment,New Payment,false,false,"/workspaces/Fixzit/app/finance/payments/new/page.tsx"
